transaction_id,date,customer_id,amount,type,description
464,2023-11-05,123,125.58,transfer,Moved funds to household savings
465,2024-07-25,947,221.77,transfer,Sent funds to investment account
466,2020-02-14,550,695.75,credit,Bartered coding help for farm goods
467,2020-08-09,768,622.17,credit,Crowdfunding tip for open source contribution
468,2022-10-22,834,20.37,transfer,Split cost of family dinner out
469,2021-06-22,680,178.29,debit,Bought used programming book from thrift store
470,2022-02-25,721,522.11,credit,Sold old computer parts locally
471,2023-10-29,495,340.11,credit,Fixed neighbors computer for payment
472,2021-12-12,869,41.49,debit,Bought used monitor for coding setup
473,2021-07-19,583,212.35,transfer,Sent funds to investment account
474,2023-05-06,605,598.52,credit,Overtime pay for hospital shift
475,2020-05-12,406,602.48,credit,Payment for small repair job
476,2022-06-20,625,232.67,transfer,Split cost of community event
477,2020-09-22,181,560.06,credit,Payment for teaching basic computer skills
478,2020-06-28,107,50.97,debit,Paid for cloud storage for coding projects
479,2020-07-02,162,836.88,credit,Overtime pay for hospital shift
480,2023-01-05,291,430.62,credit,Crowdfunding tip for open source contribution
481,2020-06-23,953,192.99,debit,Drove to town for job fair
482,2020-09-18,951,17.96,transfer,Sent funds to investment account
483,2023-08-16,363,147.77,debit,Garden supplies for vegetable patch
484,2024-01-06,904,252.49,credit,Sold app prototype to local business
485,2023-07-27,127,82.21,credit,Found cash in old clothing
486,2022-10-14,447,27.47,debit,Bought used monitor for coding setup
487,2024-01-30,400,220.26,debit,Taco purchase from local food truck
488,2023-07-15,518,386.44,transfer,Sent funds for teen school trip
489,2021-11-17,690,528.21,credit,Fixed neighbors computer for payment
490,2023-08-05,102,310.5,credit,Payment for small repair job
491,2021-11-30,493,62.68,debit,Medical coding certification renewal
492,2022-01-06,730,497.72,transfer,Paid neighbor for shared internet data
493,2020-12-18,750,254.53,debit,Household expenses for cleaning supplies
494,2021-11-24,715,909.6,credit,Tax refund from previous year
495,2020-03-04,469,330.78,credit,Hospital paycheck for medical coding
496,2023-06-06,519,646.38,credit,Bartered coding help for farm goods
497,2024-10-31,559,460.12,transfer,Sent funds to investment account
498,2024-02-16,493,478.75,credit,Payment for teaching basic computer skills
499,2020-06-28,310,885.5,credit,Found cash in old clothing
500,2020-10-21,614,73.0,debit,Gas for driving to town
